Country Name,unemployment
Timor-Leste,61.043
Middle East & North Africa (IDA & IBRD countries),16.3317510458747
Tonga,42.54
South Asia (IDA & IBRD),27.1349962713836
Sub-Saharan Africa (IDA & IBRD countries),60.5321798765214
Trinidad and Tobago,47.985
Tunisia,26.5
Turkiye,34.215
Tanzania,77.386
Uganda,67.498
Ukraine,49.26
Upper middle income,54.8539254536326
Uruguay,56.24
United States,56.885
Uzbekistan,39.998
St. Vincent and the Grenadines,54.52
"Venezuela, RB",42.101
Virgin Islands (U.S.),42.98
Viet Nam,70.516
Vanuatu,60.309
World,47.9580011704244
Samoa,41.062
"Yemen, Rep.",5.127
South Africa,52.042
Zambia,52.204
Zimbabwe,60.73
